city,forecast_timestamp,temperature,feels_like,temp_min,temp_max,pressure,humidity,weather_desc,wind_speed,wind_deg,clouds,pop
Chicago,2024-12-11 03:00:00,0.05,-3.74,-0.02,0.05,1015,64,overcast clouds,3.36,299,100,0.0
Chicago,2024-12-11 06:00:00,-0.49,-4.49,-0.78,-0.49,1014,57,overcast clouds,3.47,299,100,0.0
Chicago,2024-12-11 09:00:00,-1.07,-5.28,-1.07,-1.07,1013,51,scattered clouds,3.58,283,36,0.0
Chicago,2024-12-11 12:00:00,-1.4,-6.2,-1.4,-1.4,1013,55,scattered clouds,4.27,275,28,0.0
Chicago,2024-12-11 15:00:00,-1.35,-6.66,-1.35,-1.35,1013,61,clear sky,5.09,276,10,0.0
Chicago,2024-12-11 18:00:00,-0.48,-5.94,-0.48,-0.48,1012,52,broken clouds,5.77,282,52,0.0
Chicago,2024-12-11 21:00:00,-1.36,-7.41,-1.36,-1.36,1013,48,light snow,6.47,284,100,0.2
Chicago,2024-12-12 00:00:00,-4.57,-11.57,-4.57,-4.57,1017,35,broken clouds,6.94,285,69,0.0
Chicago,2024-12-12 03:00:00,-7.44,-14.44,-7.44,-7.44,1019,31,clear sky,7.03,286,0,0.0
Chicago,2024-12-12 06:00:00,-9.29,-16.29,-9.29,-9.29,1022,34,clear sky,6.47,280,0,0.0
Chicago,2024-12-12 09:00:00,-10.57,-17.57,-10.57,-10.57,1024,35,clear sky,5.96,284,0,0.0
Chicago,2024-12-12 12:00:00,-11.33,-18.33,-11.33,-11.33,1027,35,clear sky,5.54,286,1,0.0
Chicago,2024-12-12 15:00:00,-11.01,-18.01,-11.01,-11.01,1030,32,scattered clouds,4.86,280,44,0.0
Chicago,2024-12-12 18:00:00,-8.69,-15.11,-8.69,-8.69,1030,25,broken clouds,4.17,276,57,0.0
Chicago,2024-12-12 21:00:00,-7.14,-12.55,-7.14,-7.14,1031,22,overcast clouds,3.45,280,100,0.0
Chicago,2024-12-13 00:00:00,-6.73,-10.94,-6.73,-6.73,1032,21,overcast clouds,2.46,277,100,0.0
Chicago,2024-12-13 03:00:00,-6.67,-10.23,-6.67,-6.67,1033,19,broken clouds,2.0,288,81,0.0
Chicago,2024-12-13 06:00:00,-6.65,-6.65,-6.65,-6.65,1034,20,broken clouds,1.32,333,67,0.0
Chicago,2024-12-13 09:00:00,-6.36,-10.04,-6.36,-6.36,1034,26,broken clouds,2.12,28,55,0.0
Chicago,2024-12-13 12:00:00,-5.18,-9.06,-5.18,-5.18,1034,48,broken clouds,2.42,51,54,0.0
Chicago,2024-12-13 15:00:00,-2.75,-7.25,-2.75,-2.75,1035,56,few clouds,3.49,88,15,0.0
Chicago,2024-12-13 18:00:00,-1.51,-5.98,-1.51,-1.51,1035,53,broken clouds,3.79,103,57,0.0
Chicago,2024-12-13 21:00:00,-0.19,-4.08,-0.19,-0.19,1033,54,overcast clouds,3.42,100,100,0.0
Chicago,2024-12-14 00:00:00,0.46,-3.65,0.46,0.46,1034,56,overcast clouds,3.9,113,100,0.0
Chicago,2024-12-14 03:00:00,0.97,-3.17,0.97,0.97,1033,58,overcast clouds,4.11,117,100,0.0
Chicago,2024-12-14 06:00:00,1.28,-2.64,1.28,1.28,1033,61,light rain,3.89,123,100,0.2
Chicago,2024-12-14 09:00:00,1.7,-2.42,1.7,1.7,1031,66,overcast clouds,4.35,120,100,0.0
Chicago,2024-12-14 12:00:00,1.25,-2.45,1.25,1.25,1031,75,light rain,3.58,136,100,0.37
Chicago,2024-12-14 15:00:00,1.8,-2.86,1.8,1.8,1029,85,moderate rain,5.37,114,100,1.0
Chicago,2024-12-14 18:00:00,3.06,-1.58,3.06,3.06,1025,83,light rain,6.02,124,100,1.0
Chicago,2024-12-14 21:00:00,3.3,-0.65,3.3,3.3,1023,94,light rain,4.74,143,100,1.0
Chicago,2024-12-15 00:00:00,3.98,0.34,3.98,3.98,1023,96,light rain,4.47,147,100,1.0
